goos: darwin
goarch: arm64
pkg: gcopt/q1_devirt
cpu: Apple M1
BenchmarkBigChain200-8     	 1000000	       326.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       330.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain200-8     	 1000000	       339.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  378073	       921.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  392900	       927.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  384271	       924.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  396782	       902.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  401244	       900.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  399860	       899.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  399289	       900.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  400828	       898.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  396859	       897.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain500-8     	  400748	       898.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  196316	      1861 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  194230	      1844 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  195501	      1846 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  191241	      1883 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  190462	      1858 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  196561	      1854 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  193831	      1858 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  193938	      1852 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  196094	      1847 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain1000-8    	  193684	      1851 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   95468	      3736 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   96979	      3757 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   96945	      3736 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   97456	      3722 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   96998	      3731 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   96903	      3728 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   96150	      3707 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   97209	      3741 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   97035	      3743 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain2000-8    	   95104	      3788 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   46082	      7526 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   48020	      7523 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47176	      7538 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47986	      7728 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47552	      7529 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47893	      7537 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47832	      7544 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47382	      7510 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   47871	      7506 ns/op	       0 B/op	       0 allocs/op
BenchmarkBigChain4000-8    	   48141	      7483 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       321.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       321.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       321.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       323.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       321.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       319.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       320.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       320.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       323.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitChain200-8   	 1000000	       321.2 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	gcopt/q3_bigfunc	32.326s
goos: darwin
goarch: arm64
pkg: gcopt/q4_concat
cpu: Apple M1
BenchmarkLoopPlus-8          	    1645	    210561 ns/op	 2421680 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1645	    215719 ns/op	 2421683 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1695	    214873 ns/op	 2421684 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1695	    215892 ns/op	 2421683 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1705	    217064 ns/op	 2421682 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1671	    215066 ns/op	 2421684 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1672	    215130 ns/op	 2421681 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1690	    214249 ns/op	 2421683 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1645	    215381 ns/op	 2421682 B/op	     999 allocs/op
BenchmarkLoopPlus-8          	    1678	    214759 ns/op	 2421682 B/op	     999 allocs/op
BenchmarkLoopBuilder-8       	  106281	      3388 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  105026	      3400 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  104898	      3397 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  105177	      3389 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  105946	      3410 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  106570	      3382 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  104779	      3400 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  106240	      3385 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	  106518	      3457 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopBuilder-8       	   89632	      4075 ns/op	    9472 B/op	       2 allocs/op
BenchmarkLoopAppendPre-8     	  123466	      2913 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  105522	      2932 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  124309	      2911 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  124425	      2898 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  122436	      2909 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  124171	      2903 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  124825	      2894 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  123547	      2900 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  122252	      2899 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendPre-8     	  124484	      2893 ns/op	    5376 B/op	       1 allocs/op
BenchmarkLoopAppendNaive-8   	   92455	      3878 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   90696	      3884 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   93312	      3892 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   93159	      3910 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   93608	      3913 ns/op	   17912 B/op	      13 allocs/op
BenchmarkLoopAppendNaive-8   	   91970	      3953 ns/op	   17912 B/op	      13 allocs/op
